"ano";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2015";7111;6160;7833;6880;6893;6916;7531;7463;7189;7345;7287;6844;85452
"2016";7116;6800;8067;7360;7315;7527;6991;7702;7030;6588;7039;6672;86207
"2017";7581;6842;8706;6792;8115;7405;7238;8128;7462;7830;7468;7027;90594
"2018";7872;6831;7896;8112;7878;7707;8089;8917;7655;8693;7702;6913;94265
"2019";8334;7733;7626;8258;8383;7345;8384;8245;8154;8586;7644;7261;95953
"2020";8724;7437;8608;6226;5643;6518;7140;7084;7564;7534;7139;6688;86305
"2021";6837;6783;7570;6970;6991;7270;7667;8154;8004;7383;6889;4701;85219
