"ano";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2015";33;35;36;30;26;35;40;36;52;30;29;39;421
"2016";31;40;35;28;43;42;43;37;29;28;36;46;438
"2017";33;22;44;21;44;29;31;32;26;26;43;42;393
"2018";39;35;30;35;46;34;21;36;46;39;35;30;426
"2019";30;24;35;38;40;32;46;32;42;35;44;44;442
"2020";33;46;33;25;23;30;36;53;36;40;30;25;410
"2021";24;17;22;43;27;23;31;25;27;33;31;42;345
